Epoch 1, train loss 1.8174, test rmse 0.919695
Epoch 2, train loss 1.1581, test rmse 0.913251
Epoch 3, train loss 1.0680, test rmse 0.945847
Epoch 4, train loss 1.0441, test rmse 0.912239
Epoch 5, train loss 1.0149, test rmse 0.926621
Epoch 6, train loss 1.0119, test rmse 0.911690
Epoch 7, train loss 0.9923, test rmse 0.912702
Epoch 8, train loss 0.9683, test rmse 0.906984
Epoch 9, train loss 0.9564, test rmse 0.906576
Epoch 10, train loss 0.9386, test rmse 0.923251
Epoch 11, train loss 0.9293, test rmse 0.905550
Epoch 12, train loss 0.9092, test rmse 0.908334
Epoch 13, train loss 0.8916, test rmse 0.944882
Epoch 14, train loss 0.8943, test rmse 0.906164
Epoch 15, train loss 0.8807, test rmse 0.900556
Epoch 16, train loss 0.8662, test rmse 0.901064
Epoch 17, train loss 0.8595, test rmse 0.905825
Epoch 18, train loss 0.8567, test rmse 0.901036
Epoch 19, train loss 0.8509, test rmse 0.920549
Epoch 20, train loss 0.8510, test rmse 0.901130
Epoch 21, train loss 0.8356, test rmse 0.895352
Epoch 22, train loss 0.8317, test rmse 0.897982
Epoch 23, train loss 0.8296, test rmse 0.901138
Epoch 24, train loss 0.8219, test rmse 0.902781
Epoch 25, train loss 0.8167, test rmse 0.900849
Epoch 26, train loss 0.8159, test rmse 0.922395
Epoch 27, train loss 0.8116, test rmse 0.906095
Epoch 28, train loss 0.8132, test rmse 0.897517
Epoch 29, train loss 0.8059, test rmse 0.902094
Epoch 30, train loss 0.8018, test rmse 0.899081
Epoch 31, train loss 0.8014, test rmse 0.902295
Epoch 32, train loss 0.8020, test rmse 0.901078
Epoch 33, train loss 0.7984, test rmse 0.900040
Epoch 34, train loss 0.7923, test rmse 0.904674
Epoch 35, train loss 0.7926, test rmse 0.900711
Epoch 36, train loss 0.7893, test rmse 0.902575
Epoch 37, train loss 0.7932, test rmse 0.900374
Epoch 38, train loss 0.7904, test rmse 0.912471
Epoch 39, train loss 0.7930, test rmse 0.899930
Epoch 40, train loss 0.7899, test rmse 0.901336
Epoch ensemble of range(10, 40, 10), train loss 0.0000, test rmse 0.898386
