Epoch 1, train loss 1.3234, test rmse 0.953086
Epoch 2, train loss 1.0675, test rmse 0.947145
Epoch 3, train loss 1.0046, test rmse 0.953917
Epoch 4, train loss 0.9632, test rmse 0.940713
Epoch 5, train loss 0.9359, test rmse 0.956934
Epoch 6, train loss 0.9217, test rmse 0.958196
Epoch 7, train loss 0.9082, test rmse 0.938538
Epoch 8, train loss 0.9044, test rmse 0.938663
Epoch 9, train loss 0.8994, test rmse 0.943319
Epoch 10, train loss 0.8955, test rmse 0.940120
Epoch 11, train loss 0.8914, test rmse 0.946224
Epoch 12, train loss 0.8900, test rmse 0.932469
Epoch 13, train loss 0.8904, test rmse 0.933810
Epoch 14, train loss 0.8872, test rmse 0.956461
Epoch 15, train loss 0.8852, test rmse 0.935041
Epoch 16, train loss 0.8861, test rmse 0.931528
Epoch 17, train loss 0.8831, test rmse 0.941572
Epoch 18, train loss 0.8819, test rmse 0.934147
Epoch 19, train loss 0.8824, test rmse 0.931910
Epoch 20, train loss 0.8805, test rmse 0.930444
Epoch 21, train loss 0.8825, test rmse 0.932427
Epoch 22, train loss 0.8804, test rmse 0.940275
Epoch 23, train loss 0.8836, test rmse 0.932389
Epoch 24, train loss 0.8786, test rmse 0.929046
Epoch 25, train loss 0.8798, test rmse 0.931330
Epoch 26, train loss 0.8822, test rmse 0.947942
Epoch 27, train loss 0.8810, test rmse 0.930086
Epoch 28, train loss 0.8784, test rmse 0.928654
Epoch 29, train loss 0.8763, test rmse 0.931457
Epoch 30, train loss 0.8781, test rmse 0.926866
Epoch 31, train loss 0.8773, test rmse 0.949208
Epoch 32, train loss 0.8758, test rmse 0.927791
Epoch 33, train loss 0.8767, test rmse 0.926993
Epoch 34, train loss 0.8784, test rmse 0.932861
Epoch 35, train loss 0.8740, test rmse 0.927328
Epoch 36, train loss 0.8766, test rmse 0.930465
Epoch 37, train loss 0.8743, test rmse 0.928033
Epoch 38, train loss 0.8752, test rmse 0.932764
Epoch 39, train loss 0.8770, test rmse 0.928547
Epoch 40, train loss 0.8735, test rmse 0.927439
Epoch 41, train loss 0.8732, test rmse 0.929625
Epoch 42, train loss 0.8728, test rmse 0.936929
Epoch 43, train loss 0.8719, test rmse 0.926701
Epoch 44, train loss 0.8759, test rmse 0.929642
Epoch 45, train loss 0.8741, test rmse 0.928247
Epoch 46, train loss 0.8725, test rmse 0.937177
Epoch 47, train loss 0.8737, test rmse 0.931815
Epoch 48, train loss 0.8717, test rmse 0.934979
Epoch 49, train loss 0.8724, test rmse 0.926529
Epoch 50, train loss 0.8742, test rmse 0.930361
Epoch 51, train loss 0.8580, test rmse 0.923209
Epoch 52, train loss 0.8570, test rmse 0.923490
Epoch 53, train loss 0.8559, test rmse 0.925441
Epoch 54, train loss 0.8542, test rmse 0.923849
Epoch 55, train loss 0.8539, test rmse 0.921652
Epoch 56, train loss 0.8546, test rmse 0.924202
Epoch 57, train loss 0.8528, test rmse 0.921669
Epoch 58, train loss 0.8524, test rmse 0.922082
Epoch 59, train loss 0.8529, test rmse 0.921157
Epoch 60, train loss 0.8513, test rmse 0.921167
Epoch 61, train loss 0.8523, test rmse 0.921668
Epoch 62, train loss 0.8506, test rmse 0.921768
Epoch 63, train loss 0.8515, test rmse 0.921555
Epoch 64, train loss 0.8527, test rmse 0.921622
Epoch 65, train loss 0.8537, test rmse 0.922475
Epoch 66, train loss 0.8511, test rmse 0.921082
Epoch 67, train loss 0.8519, test rmse 0.922904
Epoch 68, train loss 0.8524, test rmse 0.920945
Epoch 69, train loss 0.8525, test rmse 0.921490
Epoch 70, train loss 0.8505, test rmse 0.921543
Epoch 71, train loss 0.8511, test rmse 0.922717
Epoch 72, train loss 0.8504, test rmse 0.921781
Epoch 73, train loss 0.8499, test rmse 0.921288
Epoch 74, train loss 0.8515, test rmse 0.921518
Epoch 75, train loss 0.8489, test rmse 0.921030
Epoch 76, train loss 0.8503, test rmse 0.920348
Epoch 77, train loss 0.8478, test rmse 0.921105
Epoch 78, train loss 0.8502, test rmse 0.919817
Epoch 79, train loss 0.8484, test rmse 0.920989
Epoch 80, train loss 0.8505, test rmse 0.920315
Epoch ensemble of range(50, 80, 10), train loss 0.0000, test rmse 0.920815
